
#ID Wavelength TransmissionQEFilter TransmissionFilter#

  1 3890.0 0.000001 0.000003
  2 3900.0 0.000002 0.000004
  3 3910.0 0.000004 0.000008
  4 3920.0 0.000013 0.000022
  5 3930.0 0.000051 0.000088
  6 3940.0 0.000268 0.000456
  7 3950.0 0.002184 0.003660
  8 3960.0 0.020601 0.034028
  9 3970.0 0.096790 0.157660
 10 3980.0 0.236567 0.380148
 11 3990.0 0.372684 0.591598
 12 4000.0 0.458945 0.719775
 13 4010.0 0.518820 0.804017
 14 4020.0 0.569034 0.871488
 15 4030.0 0.601368 0.910328
 16 4040.0 0.617287 0.924017
 17 4050.0 0.627468 0.929781
 18 4060.0 0.638503 0.936681
 19 4070.0 0.649420 0.943275
 20 4080.0 0.659323 0.947983
 21 4090.0 0.667282 0.949613
 22 4100.0 0.674434 0.950075
 23 4110.0 0.679810 0.948050
 24 4120.0 0.684719 0.945419
 25 4130.0 0.690814 0.944463
 26 4140.0 0.701899 0.950281
 27 4150.0 0.715984 0.960472
 28 4160.0 0.726403 0.965629
 29 4170.0 0.733458 0.966261
 30 4180.0 0.739495 0.965670
 31 4190.0 0.746193 0.966255
 32 4200.0 0.752276 0.966041
 33 4210.0 0.758412 0.965897
 34 4220.0 0.764266 0.965401
 35 4230.0 0.772912 0.968410
 36 4240.0 0.781314 0.971067
 37 4250.0 0.789253 0.973112
 38 4260.0 0.792713 0.971482
 39 4270.0 0.795415 0.969134
 40 4280.0 0.800550 0.969761
 41 4290.0 0.808233 0.973729
 42 4300.0 0.813596 0.975827
 43 4310.0 0.817464 0.976120
 44 4320.0 0.820445 0.975356
 45 4330.0 0.823760 0.974995
 46 4340.0 0.827636 0.975297
 47 4350.0 0.829467 0.973198
 48 4360.0 0.831059 0.970837
 49 4370.0 0.832949 0.968972
 50 4380.0 0.835899 0.969208
 51 4390.0 0.841382 0.972369
 52 4400.0 0.847955 0.976766
 53 4410.0 0.852378 0.978666
 54 4420.0 0.854848 0.978317
 55 4430.0 0.857096 0.977719
 56 4440.0 0.859455 0.977250
 57 4450.0 0.864117 0.979395
 58 4460.0 0.867182 0.979963
 59 4470.0 0.869313 0.980054
 60 4480.0 0.870534 0.979121
 61 4490.0 0.871256 0.977633
 62 4500.0 0.873761 0.978147
 63 4510.0 0.877284 0.979797
 64 4520.0 0.879250 0.979703
 65 4530.0 0.880312 0.978604
 66 4540.0 0.878666 0.974509
 67 4550.0 0.877176 0.970604
 68 4560.0 0.878157 0.970258
 69 4570.0 0.882407 0.973830
 70 4580.0 0.886868 0.977627
 71 4590.0 0.890353 0.980341
 72 4600.0 0.891654 0.980646
 73 4610.0 0.889830 0.977518
 74 4620.0 0.888262 0.974678
 75 4630.0 0.887558 0.972791
 76 4640.0 0.888049 0.972216
 77 4650.0 0.888967 0.972281
 78 4660.0 0.889118 0.972449
 79 4670.0 0.887649 0.970847
 80 4680.0 0.886492 0.969586
 81 4690.0 0.885220 0.968200
 82 4700.0 0.885920 0.968970
 83 4710.0 0.886616 0.969736
 84 4720.0 0.886662 0.969790
 85 4730.0 0.884949 0.967922
 86 4740.0 0.882358 0.965092
 87 4750.0 0.880607 0.963180
 88 4760.0 0.880916 0.963289
 89 4770.0 0.884309 0.966727
 90 4780.0 0.888454 0.970985
 91 4790.0 0.892449 0.975076
 92 4800.0 0.892541 0.974902
 93 4810.0 0.890002 0.971856
 94 4820.0 0.885804 0.966999
 95 4830.0 0.883497 0.964210
 96 4840.0 0.882592 0.962951
 97 4850.0 0.886368 0.967028
 98 4860.0 0.890219 0.971789
