
#ID Wavelength TransmissionQEFilter TransmissionFilter#

  1 6620.0 0.000000 0.000000
  2 6630.0 0.000016 0.000032
  3 6640.0 0.000019 0.000038
  4 6650.0 0.000023 0.000046
  5 6660.0 0.000028 0.000056
  6 6670.0 0.000034 0.000068
  7 6680.0 0.000042 0.000085
  8 6690.0 0.000053 0.000107
  9 6700.0 0.000067 0.000137
 10 6710.0 0.000086 0.000176
 11 6720.0 0.000112 0.000231
 12 6730.0 0.000149 0.000306
 13 6740.0 0.000200 0.000413
 14 6750.0 0.000272 0.000565
 15 6760.0 0.000376 0.000785
 16 6770.0 0.000530 0.001112
 17 6780.0 0.000761 0.001605
 18 6790.0 0.001112 0.002357
 19 6800.0 0.001664 0.003548
 20 6810.0 0.002546 0.005458
 21 6820.0 0.003967 0.008551
 22 6830.0 0.006360 0.013786
 23 6840.0 0.010376 0.022614
 24 6850.0 0.017248 0.037803
 25 6860.0 0.028713 0.063312
 26 6870.0 0.046812 0.103944
 27 6880.0 0.073226 0.163747
 28 6890.0 0.106428 0.239691
 29 6900.0 0.141141 0.320154
 30 6910.0 0.173168 0.395646
 31 6920.0 0.199482 0.459089
 32 6930.0 0.221280 0.512995
 33 6940.0 0.241711 0.564505
 34 6950.0 0.262866 0.618486
 35 6960.0 0.284782 0.675084
 36 6970.0 0.307592 0.734185
 37 6980.0 0.329941 0.792992
 38 6990.0 0.349774 0.846532
 39 7000.0 0.365857 0.891686
 40 7010.0 0.377591 0.926805
 41 7020.0 0.385136 0.952071
 42 7030.0 0.389119 0.968828
 43 7040.0 0.390580 0.979506
 44 7050.0 0.389930 0.985006
 45 7060.0 0.388497 0.988124
 46 7070.0 0.386666 0.989601
 47 7080.0 0.384873 0.991194
 48 7090.0 0.382657 0.991713
 49 7100.0 0.380149 0.991475
 50 7110.0 0.377729 0.991465
 51 7120.0 0.375529 0.992038
 52 7130.0 0.372753 0.991085
 53 7140.0 0.369819 0.989699
 54 7150.0 0.367148 0.989001
 55 7160.0 0.363985 0.986962
 56 7170.0 0.360896 0.985096
 57 7180.0 0.357972 0.983660
 58 7190.0 0.355684 0.983962
 59 7200.0 0.353022 0.983228
 60 7210.0 0.350403 0.982607
 61 7220.0 0.347998 0.982578
 62 7230.0 0.345963 0.983601
 63 7240.0 0.343365 0.983027
 64 7250.0 0.341039 0.983230
 65 7260.0 0.338928 0.984061
 66 7270.0 0.336553 0.984562
 67 7280.0 0.333764 0.983959
 68 7290.0 0.331236 0.984119
 69 7300.0 0.328574 0.983881
 70 7310.0 0.326132 0.984303
 71 7320.0 0.323232 0.983341
 72 7330.0 0.320623 0.983254
 73 7340.0 0.317974 0.983041
 74 7350.0 0.315641 0.983811
 75 7360.0 0.312945 0.983144
 76 7370.0 0.310912 0.983534
 77 7380.0 0.308689 0.983329
 78 7390.0 0.306695 0.983854
 79 7400.0 0.304649 0.984215
 80 7410.0 0.302391 0.983895
 81 7420.0 0.300514 0.984820
 82 7430.0 0.298391 0.984944
 83 7440.0 0.296285 0.985126
 84 7450.0 0.294432 0.986160
