
#ID Wavelength TransmissionQEFilter TransmissionFilter#

  1 5260.0 0.000029 0.000034
  2 5270.0 0.000029 0.000034
  3 5280.0 0.000029 0.000034
  4 5290.0 0.000030 0.000035
  5 5300.0 0.000032 0.000037
  6 5310.0 0.000034 0.000040
  7 5320.0 0.000037 0.000044
  8 5330.0 0.000041 0.000049
  9 5340.0 0.000047 0.000057
 10 5350.0 0.000055 0.000066
 11 5360.0 0.000066 0.000079
 12 5370.0 0.000081 0.000097
 13 5380.0 0.000101 0.000122
 14 5390.0 0.000129 0.000156
 15 5400.0 0.000169 0.000205
 16 5410.0 0.000228 0.000277
 17 5420.0 0.000312 0.000381
 18 5430.0 0.000440 0.000538
 19 5440.0 0.000635 0.000779
 20 5450.0 0.000941 0.001157
 21 5460.0 0.001433 0.001768
 22 5470.0 0.002233 0.002763
 23 5480.0 0.003580 0.004442
 24 5490.0 0.005884 0.007321
 25 5500.0 0.009866 0.012313
 26 5510.0 0.016969 0.021239
 27 5520.0 0.029424 0.036938
 28 5530.0 0.051013 0.064232
 29 5540.0 0.086624 0.109395
 30 5550.0 0.139307 0.176453
 31 5560.0 0.208101 0.264398
 32 5570.0 0.284716 0.362863
 33 5580.0 0.356125 0.455285
 34 5590.0 0.415456 0.532797
 35 5600.0 0.460738 0.592721
 36 5610.0 0.496060 0.640168
 37 5620.0 0.523952 0.678297
 38 5630.0 0.547506 0.711033
 39 5640.0 0.566106 0.737522
 40 5650.0 0.580970 0.759299
 41 5660.0 0.590659 0.774355
 42 5670.0 0.597467 0.785541
 43 5680.0 0.601376 0.792968
 44 5690.0 0.604263 0.799086
 45 5700.0 0.607038 0.805093
 46 5710.0 0.611516 0.813398
 47 5720.0 0.618042 0.824485
 48 5730.0 0.626573 0.838320
 49 5740.0 0.635622 0.852931
 50 5750.0 0.646898 0.870626
 51 5760.0 0.657466 0.887469
 52 5770.0 0.666320 0.902611
 53 5780.0 0.673801 0.916002
 54 5790.0 0.678853 0.926175
 55 5800.0 0.682543 0.934555
 56 5810.0 0.685233 0.941622
 57 5820.0 0.686915 0.947349
 58 5830.0 0.688402 0.952850
 59 5840.0 0.690685 0.959495
 60 5850.0 0.692389 0.965381
 61 5860.0 0.694098 0.971467
 62 5870.0 0.695209 0.976970
 63 5880.0 0.695261 0.981023
 64 5890.0 0.694785 0.984360
 65 5900.0 0.693293 0.986280
 66 5910.0 0.691523 0.987819
 67 5920.0 0.688329 0.987328
 68 5930.0 0.685731 0.987691
 69 5940.0 0.682195 0.986699
 70 5950.0 0.679569 0.987024
 71 5960.0 0.676698 0.986992
 72 5970.0 0.674283 0.987627
 73 5980.0 0.671109 0.987152
 74 5990.0 0.668115 0.986938
 75 6000.0 0.664717 0.986122
 76 6010.0 0.660297 0.983778
 77 6020.0 0.656303 0.982052
